Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
GMF",432 €,7,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,05/10/1945,78,Marié(e),Fonctionnaire hospitalier,05/2009,Non,05/01/1960,,Oui,2020,2016,non,11/2011,,08/2005,RE43268,RENAULT,TRAFIC,DIES,FGN,8,U1,0,27568,14,C,9,4,99,14,9,6,9,,,,,,,,,,,,,,,,,,,,,,C,3,25000,54930,54156,1,1,64230,64387,Meurthe-et-Moselle,54,44,C,S,15,20,6,A,56,E,16/09/2024
"	
MAAF Assurances",459 €,7,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,05/10/1945,78,Marié(e),Fonctionnaire hospitalier,05/2009,Non,05/01/1960,,Oui,2020,2016,non,11/2011,,08/2005,RE43268,RENAULT,TRAFIC,DIES,FGN,8,U1,0,27568,14,C,9,4,99,14,9,6,9,,,,,,,,,,,,,,,,,,,,,,C,3,25000,54930,54156,1,1,64230,64387,Meurthe-et-Moselle,54,44,C,S,15,20,6,A,56,E,16/09/2024
"	
MMA",485 €,7,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,05/10/1945,78,Marié(e),Fonctionnaire hospitalier,05/2009,Non,05/01/1960,,Oui,2020,2016,non,11/2011,,08/2005,RE43268,RENAULT,TRAFIC,DIES,FGN,8,U1,0,27568,14,C,9,4,99,14,9,6,9,,,,,,,,,,,,,,,,,,,,,,C,3,25000,54930,54156,1,1,64230,64387,Meurthe-et-Moselle,54,44,C,S,15,20,6,A,56,E,16/09/2024
"	
Active Assurances",649 €,7,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,05/10/1945,78,Marié(e),Fonctionnaire hospitalier,05/2009,Non,05/01/1960,,Oui,2020,2016,non,11/2011,,08/2005,RE43268,RENAULT,TRAFIC,DIES,FGN,8,U1,0,27568,14,C,9,4,99,14,9,6,9,,,,,,,,,,,,,,,,,,,,,,C,3,25000,54930,54156,1,1,64230,64387,Meurthe-et-Moselle,54,44,C,S,15,20,6,A,56,E,16/09/2024
"	
Groupe Allianz",811 €,7,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,05/10/1945,78,Marié(e),Fonctionnaire hospitalier,05/2009,Non,05/01/1960,,Oui,2020,2016,non,11/2011,,08/2005,RE43268,RENAULT,TRAFIC,DIES,FGN,8,U1,0,27568,14,C,9,4,99,14,9,6,9,,,,,,,,,,,,,,,,,,,,,,C,3,25000,54930,54156,1,1,64230,64387,Meurthe-et-Moselle,54,44,C,S,15,20,6,A,56,E,16/09/2024
"	
Groupe Vilavi",865 €,7,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,05/10/1945,78,Marié(e),Fonctionnaire hospitalier,05/2009,Non,05/01/1960,,Oui,2020,2016,non,11/2011,,08/2005,RE43268,RENAULT,TRAFIC,DIES,FGN,8,U1,0,27568,14,C,9,4,99,14,9,6,9,,,,,,,,,,,,,,,,,,,,,,C,3,25000,54930,54156,1,1,64230,64387,Meurthe-et-Moselle,54,44,C,S,15,20,6,A,56,E,16/09/2024
"	
Groupe Vilavi",904 €,7,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,05/10/1945,78,Marié(e),Fonctionnaire hospitalier,05/2009,Non,05/01/1960,,Oui,2020,2016,non,11/2011,,08/2005,RE43268,RENAULT,TRAFIC,DIES,FGN,8,U1,0,27568,14,C,9,4,99,14,9,6,9,,,,,,,,,,,,,,,,,,,,,,C,3,25000,54930,54156,1,1,64230,64387,Meurthe-et-Moselle,54,44,C,S,15,20,6,A,56,E,16/09/2024
"	
Groupe Admiral",956 €,7,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,05/10/1945,78,Marié(e),Fonctionnaire hospitalier,05/2009,Non,05/01/1960,,Oui,2020,2016,non,11/2011,,08/2005,RE43268,RENAULT,TRAFIC,DIES,FGN,8,U1,0,27568,14,C,9,4,99,14,9,6,9,,,,,,,,,,,,,,,,,,,,,,C,3,25000,54930,54156,1,1,64230,64387,Meurthe-et-Moselle,54,44,C,S,15,20,6,A,56,E,16/09/2024
"	
Groupe AXA",1 168 €,7,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,05/10/1945,78,Marié(e),Fonctionnaire hospitalier,05/2009,Non,05/01/1960,,Oui,2020,2016,non,11/2011,,08/2005,RE43268,RENAULT,TRAFIC,DIES,FGN,8,U1,0,27568,14,C,9,4,99,14,9,6,9,,,,,,,,,,,,,,,,,,,,,,C,3,25000,54930,54156,1,1,64230,64387,Meurthe-et-Moselle,54,44,C,S,15,20,6,A,56,E,16/09/2024
"	
MAAF Assurances",441 €,9,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,15/09/1929,95,Marié(e),Commerçant,07/1991,Non,11/02/1942,08/1967,Oui,2004,2006,non,07/2018,,11/2005,AU18509,AUDI,A4,DIES,BER,8,M2,0,32600,13,F,11,9,99,13,8,13,5,,,,,,,,,,,,,,,,,,,,,,L,1,7000,32550,32282,1,2,41360,41120,Gers,32,76,C,P,33,120,6,E,71,D,16/09/2024
"	
GMF",588 €,9,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,15/09/1929,95,Marié(e),Commerçant,07/1991,Non,11/02/1942,08/1967,Oui,2004,2006,non,07/2018,,11/2005,AU18509,AUDI,A4,DIES,BER,8,M2,0,32600,13,F,11,9,99,13,8,13,5,,,,,,,,,,,,,,,,,,,,,,L,1,7000,32550,32282,1,2,41360,41120,Gers,32,76,C,P,33,120,6,E,71,D,16/09/2024
"	
Groupe AXA",692 €,9,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,15/09/1929,95,Marié(e),Commerçant,07/1991,Non,11/02/1942,08/1967,Oui,2004,2006,non,07/2018,,11/2005,AU18509,AUDI,A4,DIES,BER,8,M2,0,32600,13,F,11,9,99,13,8,13,5,,,,,,,,,,,,,,,,,,,,,,L,1,7000,32550,32282,1,2,41360,41120,Gers,32,76,C,P,33,120,6,E,71,D,16/09/2024
"	
Active Assurances",726 €,9,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,15/09/1929,95,Marié(e),Commerçant,07/1991,Non,11/02/1942,08/1967,Oui,2004,2006,non,07/2018,,11/2005,AU18509,AUDI,A4,DIES,BER,8,M2,0,32600,13,F,11,9,99,13,8,13,5,,,,,,,,,,,,,,,,,,,,,,L,1,7000,32550,32282,1,2,41360,41120,Gers,32,76,C,P,33,120,6,E,71,D,16/09/2024
"	
Groupe Allianz",1 051 €,9,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,15/09/1929,95,Marié(e),Commerçant,07/1991,Non,11/02/1942,08/1967,Oui,2004,2006,non,07/2018,,11/2005,AU18509,AUDI,A4,DIES,BER,8,M2,0,32600,13,F,11,9,99,13,8,13,5,,,,,,,,,,,,,,,,,,,,,,L,1,7000,32550,32282,1,2,41360,41120,Gers,32,76,C,P,33,120,6,E,71,D,16/09/2024
