Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
Groupe AXA",462 €,576873,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,04/05/1995,29,Marié(e),Retraité,04/2018,Oui,30/01/1928,08/2013,Non,non,non,non,08/2005,,07/2005,RE64001,RENAULT,ESPACE IV,CARB,MSP,11,H1,0,26350,12,D,7,12,99,10,4,8,3,,,,,,,,,,,,,,,,,,,,,,C,2,25000,77710,77489,1,1,85130,85247,Seine-et-Marne,77,11,C,S,6,0.72,6,A,50,E,16/09/2024
"	
MMA",649 €,576873,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,04/05/1995,29,Marié(e),Retraité,04/2018,Oui,30/01/1928,08/2013,Non,non,non,non,08/2005,,07/2005,RE64001,RENAULT,ESPACE IV,CARB,MSP,11,H1,0,26350,12,D,7,12,99,10,4,8,3,,,,,,,,,,,,,,,,,,,,,,C,2,25000,77710,77489,1,1,85130,85247,Seine-et-Marne,77,11,C,S,6,0.72,6,A,50,E,16/09/2024
"	
MAAF Assurances",737 €,576873,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,04/05/1995,29,Marié(e),Retraité,04/2018,Oui,30/01/1928,08/2013,Non,non,non,non,08/2005,,07/2005,RE64001,RENAULT,ESPACE IV,CARB,MSP,11,H1,0,26350,12,D,7,12,99,10,4,8,3,,,,,,,,,,,,,,,,,,,,,,C,2,25000,77710,77489,1,1,85130,85247,Seine-et-Marne,77,11,C,S,6,0.72,6,A,50,E,16/09/2024
"	
Groupe Allianz",821 €,576873,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,04/05/1995,29,Marié(e),Retraité,04/2018,Oui,30/01/1928,08/2013,Non,non,non,non,08/2005,,07/2005,RE64001,RENAULT,ESPACE IV,CARB,MSP,11,H1,0,26350,12,D,7,12,99,10,4,8,3,,,,,,,,,,,,,,,,,,,,,,C,2,25000,77710,77489,1,1,85130,85247,Seine-et-Marne,77,11,C,S,6,0.72,6,A,50,E,16/09/2024
"	
Active Assurances",849 €,576873,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,04/05/1995,29,Marié(e),Retraité,04/2018,Oui,30/01/1928,08/2013,Non,non,non,non,08/2005,,07/2005,RE64001,RENAULT,ESPACE IV,CARB,MSP,11,H1,0,26350,12,D,7,12,99,10,4,8,3,,,,,,,,,,,,,,,,,,,,,,C,2,25000,77710,77489,1,1,85130,85247,Seine-et-Marne,77,11,C,S,6,0.72,6,A,50,E,16/09/2024
"	
Groupe Admiral",901 €,576873,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,04/05/1995,29,Marié(e),Retraité,04/2018,Oui,30/01/1928,08/2013,Non,non,non,non,08/2005,,07/2005,RE64001,RENAULT,ESPACE IV,CARB,MSP,11,H1,0,26350,12,D,7,12,99,10,4,8,3,,,,,,,,,,,,,,,,,,,,,,C,2,25000,77710,77489,1,1,85130,85247,Seine-et-Marne,77,11,C,S,6,0.72,6,A,50,E,16/09/2024
"	
GMF",926 €,576873,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,04/05/1995,29,Marié(e),Retraité,04/2018,Oui,30/01/1928,08/2013,Non,non,non,non,08/2005,,07/2005,RE64001,RENAULT,ESPACE IV,CARB,MSP,11,H1,0,26350,12,D,7,12,99,10,4,8,3,,,,,,,,,,,,,,,,,,,,,,C,2,25000,77710,77489,1,1,85130,85247,Seine-et-Marne,77,11,C,S,6,0.72,6,A,50,E,16/09/2024
"	
MAAF Assurances",251 €,354372,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,12/03/1967,57,Marié(e),Fonctionnaire territorial,03/1998,Non,22/09/1939,07/2008,Oui,2019,2013,2000,N/A,27/12/2024,11/2005,AU15545,AUDI,A6,DIES,BRK,15,H1,0,50230,14,J,12,12,99,5,5,12,7,,,,,,,,,,,,,,,,,,,,,,D,3,20000,38260,38069,2,1,42310,42203,Isère,38,84,V,S,26,120,0,E,88,A,16/09/2024
"	
Abeille Assurances",263 €,354372,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,12/03/1967,57,Marié(e),Fonctionnaire territorial,03/1998,Non,22/09/1939,07/2008,Oui,2019,2013,2000,N/A,27/12/2024,11/2005,AU15545,AUDI,A6,DIES,BRK,15,H1,0,50230,14,J,12,12,99,5,5,12,7,,,,,,,,,,,,,,,,,,,,,,D,3,20000,38260,38069,2,1,42310,42203,Isère,38,84,V,S,26,120,0,E,88,A,16/09/2024
"	
GMF",289 €,354372,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,12/03/1967,57,Marié(e),Fonctionnaire territorial,03/1998,Non,22/09/1939,07/2008,Oui,2019,2013,2000,N/A,27/12/2024,11/2005,AU15545,AUDI,A6,DIES,BRK,15,H1,0,50230,14,J,12,12,99,5,5,12,7,,,,,,,,,,,,,,,,,,,,,,D,3,20000,38260,38069,2,1,42310,42203,Isère,38,84,V,S,26,120,0,E,88,A,16/09/2024
"	
Assurpeople.com",329 €,354372,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,12/03/1967,57,Marié(e),Fonctionnaire territorial,03/1998,Non,22/09/1939,07/2008,Oui,2019,2013,2000,N/A,27/12/2024,11/2005,AU15545,AUDI,A6,DIES,BRK,15,H1,0,50230,14,J,12,12,99,5,5,12,7,,,,,,,,,,,,,,,,,,,,,,D,3,20000,38260,38069,2,1,42310,42203,Isère,38,84,V,S,26,120,0,E,88,A,16/09/2024
"	
Groupe Vilavi",350 €,354372,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,12/03/1967,57,Marié(e),Fonctionnaire territorial,03/1998,Non,22/09/1939,07/2008,Oui,2019,2013,2000,N/A,27/12/2024,11/2005,AU15545,AUDI,A6,DIES,BRK,15,H1,0,50230,14,J,12,12,99,5,5,12,7,,,,,,,,,,,,,,,,,,,,,,D,3,20000,38260,38069,2,1,42310,42203,Isère,38,84,V,S,26,120,0,E,88,A,16/09/2024
"	
Groupe Admiral",374 €,354372,Vous comptez l'acheter,D'une voiture en remplacement,D'occasion,Non,Vous,Une femme,12/03/1967,57,Marié(e),Fonctionnaire territorial,03/1998,Non,22/09/1939,07/2008,Oui,2019,2013,2000,N/A,27/12/2024,11/2005,AU15545,AUDI,A6,DIES,BRK,15,H1,0,50230,14,J,12,12,99,5,5,12,7,,,,,,,,,,,,,,,,,,,,,,D,3,20000,38260,38069,2,1,42310,42203,Isère,38,84,V,S,26,120,0,E,88,A,16/09/2024
