Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
Groupe AXA",163 €,6,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/02/1990,34,Veuf(ve),Salarié,11/2016,Non,,,Non,non,non,non,08/2022,,11/2005,BM25208,BMW,525,CARB,BER,15,H1,0,44250,14,H,9,13,99,12,5,13,8,,,,,,,,,,,,,,,,,,,,,,D,1,2000,29260,29100,2,2,47200,47157,Finistère,29,53,J,P,7,0.68,2,A,21,A,16/09/2024
"	
Abeille Assurances",218 €,6,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/02/1990,34,Veuf(ve),Salarié,11/2016,Non,,,Non,non,non,non,08/2022,,11/2005,BM25208,BMW,525,CARB,BER,15,H1,0,44250,14,H,9,13,99,12,5,13,8,,,,,,,,,,,,,,,,,,,,,,D,1,2000,29260,29100,2,2,47200,47157,Finistère,29,53,J,P,7,0.68,2,A,21,A,16/09/2024
"	
Groupe Admiral",276 €,6,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/02/1990,34,Veuf(ve),Salarié,11/2016,Non,,,Non,non,non,non,08/2022,,11/2005,BM25208,BMW,525,CARB,BER,15,H1,0,44250,14,H,9,13,99,12,5,13,8,,,,,,,,,,,,,,,,,,,,,,D,1,2000,29260,29100,2,2,47200,47157,Finistère,29,53,J,P,7,0.68,2,A,21,A,16/09/2024
"	
Active Assurances",276 €,6,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/02/1990,34,Veuf(ve),Salarié,11/2016,Non,,,Non,non,non,non,08/2022,,11/2005,BM25208,BMW,525,CARB,BER,15,H1,0,44250,14,H,9,13,99,12,5,13,8,,,,,,,,,,,,,,,,,,,,,,D,1,2000,29260,29100,2,2,47200,47157,Finistère,29,53,J,P,7,0.68,2,A,21,A,16/09/2024
"	
MAAF Assurances",323 €,6,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/02/1990,34,Veuf(ve),Salarié,11/2016,Non,,,Non,non,non,non,08/2022,,11/2005,BM25208,BMW,525,CARB,BER,15,H1,0,44250,14,H,9,13,99,12,5,13,8,,,,,,,,,,,,,,,,,,,,,,D,1,2000,29260,29100,2,2,47200,47157,Finistère,29,53,J,P,7,0.68,2,A,21,A,16/09/2024
"	
Groupe Allianz",341 €,6,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/02/1990,34,Veuf(ve),Salarié,11/2016,Non,,,Non,non,non,non,08/2022,,11/2005,BM25208,BMW,525,CARB,BER,15,H1,0,44250,14,H,9,13,99,12,5,13,8,,,,,,,,,,,,,,,,,,,,,,D,1,2000,29260,29100,2,2,47200,47157,Finistère,29,53,J,P,7,0.68,2,A,21,A,16/09/2024
"	
GMF",407 €,6,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/02/1990,34,Veuf(ve),Salarié,11/2016,Non,,,Non,non,non,non,08/2022,,11/2005,BM25208,BMW,525,CARB,BER,15,H1,0,44250,14,H,9,13,99,12,5,13,8,,,,,,,,,,,,,,,,,,,,,,D,1,2000,29260,29100,2,2,47200,47157,Finistère,29,53,J,P,7,0.68,2,A,21,A,16/09/2024
"	
Groupe Vilavi",412 €,6,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/02/1990,34,Veuf(ve),Salarié,11/2016,Non,,,Non,non,non,non,08/2022,,11/2005,BM25208,BMW,525,CARB,BER,15,H1,0,44250,14,H,9,13,99,12,5,13,8,,,,,,,,,,,,,,,,,,,,,,D,1,2000,29260,29100,2,2,47200,47157,Finistère,29,53,J,P,7,0.68,2,A,21,A,16/09/2024
"	
Groupe Vilavi",452 €,6,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/02/1990,34,Veuf(ve),Salarié,11/2016,Non,,,Non,non,non,non,08/2022,,11/2005,BM25208,BMW,525,CARB,BER,15,H1,0,44250,14,H,9,13,99,12,5,13,8,,,,,,,,,,,,,,,,,,,,,,D,1,2000,29260,29100,2,2,47200,47157,Finistère,29,53,J,P,7,0.68,2,A,21,A,16/09/2024
"	
SOS Malus",578 €,6,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,12/02/1990,34,Veuf(ve),Salarié,11/2016,Non,,,Non,non,non,non,08/2022,,11/2005,BM25208,BMW,525,CARB,BER,15,H1,0,44250,14,H,9,13,99,12,5,13,8,,,,,,,,,,,,,,,,,,,,,,D,1,2000,29260,29100,2,2,47200,47157,Finistère,29,53,J,P,7,0.68,2,A,21,A,16/09/2024
