Compagnie,Prime,ID,TypeBesoin,TypeBesoinDetails,AgeCar,OtherDriver,CarteGrise,Genre,DateNaissance,Age,SituationMatrimoniale,Profession,DateObtentionPermis,ConduiteAccompagné,DateNaissanceConjoint,DatePermisConjoint,Enfants_a_charge,Annee_Enfant_1,Annee_Enfant_2,Annee_Enfant_3,DateAchat,DateAchat_Prevue,DateCirculation,ID_vehicule_occasion,Marque_occasion,Modele_occasion,Alimentation_occasion,Carrosserie_occasion,Puissance_occasion,categorie_commerciale_vehicule_occasion,qualification_vehicule_vert_occasion,valeur_a_neuf_vehicule_ocassion,groupe_tarification_vehicule_occasion,classe_tarification_vehicule_occasion,code_type_frequence_bdg_occasion,code_type_cout_bdg_occasion,code_vente_vehicule_occasion,code_type_frequence_rcm_occasion,code_type_frequence_rcc_occasion,code_type_frequence_dta_occasion,code_type_frequence_vol_occasion,Marque_vehicule_neuf,Modele_vehicule_neuf,Alimentation_vehicule_neuf,Carrosserie_vehicule_neuf,Puissance_vehicule_neuf,ID_vehicule_neuf,valeur_a_neuf_vehiculeNeuve,groupe_tarification_vehicule_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve,ModeFinancement,Usage,KmParcours,CP_Stationnement,Ville_Stationnement,ResidenceType,TypeLocation,CP_Travail,Ville_Travail,nom_departement,code_departement,code_region,Type_Parking,TypeAssure,NbreAnneeAssure,Bonus,NbreAnneePossessionVeh,CtrActuel,AssureurActuel,NiveauProtection,Date_scraping
"	
MAAF Assurances",454 €,9515,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/02/1943,81,Célibataire,Fonctionnaire autre,02/1979,Oui,,,Non,non,non,non,01/2021,,11/2005,AU15498,AUDI,A6,CARB,BRK,10,H1,0,38410,13,G,8,12,99,13,5,12,4,,,,,,,,,,,,,,,,,,,,,,T,3,20000,59261,59630,2,2,59530,59468,Nord,59,32,C,S,45,120,3,A,20,E,16/09/2024
"	
GMF",595 €,9515,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/02/1943,81,Célibataire,Fonctionnaire autre,02/1979,Oui,,,Non,non,non,non,01/2021,,11/2005,AU15498,AUDI,A6,CARB,BRK,10,H1,0,38410,13,G,8,12,99,13,5,12,4,,,,,,,,,,,,,,,,,,,,,,T,3,20000,59261,59630,2,2,59530,59468,Nord,59,32,C,S,45,120,3,A,20,E,16/09/2024
"	
Active Assurances",687 €,9515,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/02/1943,81,Célibataire,Fonctionnaire autre,02/1979,Oui,,,Non,non,non,non,01/2021,,11/2005,AU15498,AUDI,A6,CARB,BRK,10,H1,0,38410,13,G,8,12,99,13,5,12,4,,,,,,,,,,,,,,,,,,,,,,T,3,20000,59261,59630,2,2,59530,59468,Nord,59,32,C,S,45,120,3,A,20,E,16/09/2024
"	
Groupe Vilavi",859 €,9515,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/02/1943,81,Célibataire,Fonctionnaire autre,02/1979,Oui,,,Non,non,non,non,01/2021,,11/2005,AU15498,AUDI,A6,CARB,BRK,10,H1,0,38410,13,G,8,12,99,13,5,12,4,,,,,,,,,,,,,,,,,,,,,,T,3,20000,59261,59630,2,2,59530,59468,Nord,59,32,C,S,45,120,3,A,20,E,16/09/2024
"	
Groupe Vilavi",898 €,9515,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/02/1943,81,Célibataire,Fonctionnaire autre,02/1979,Oui,,,Non,non,non,non,01/2021,,11/2005,AU15498,AUDI,A6,CARB,BRK,10,H1,0,38410,13,G,8,12,99,13,5,12,4,,,,,,,,,,,,,,,,,,,,,,T,3,20000,59261,59630,2,2,59530,59468,Nord,59,32,C,S,45,120,3,A,20,E,16/09/2024
"	
Groupe Allianz",917 €,9515,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/02/1943,81,Célibataire,Fonctionnaire autre,02/1979,Oui,,,Non,non,non,non,01/2021,,11/2005,AU15498,AUDI,A6,CARB,BRK,10,H1,0,38410,13,G,8,12,99,13,5,12,4,,,,,,,,,,,,,,,,,,,,,,T,3,20000,59261,59630,2,2,59530,59468,Nord,59,32,C,S,45,120,3,A,20,E,16/09/2024
"	
Groupe AXA",930 €,9515,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,18/02/1943,81,Célibataire,Fonctionnaire autre,02/1979,Oui,,,Non,non,non,non,01/2021,,11/2005,AU15498,AUDI,A6,CARB,BRK,10,H1,0,38410,13,G,8,12,99,13,5,12,4,,,,,,,,,,,,,,,,,,,,,,T,3,20000,59261,59630,2,2,59530,59468,Nord,59,32,C,S,45,120,3,A,20,E,16/09/2024
"	
MAAF Assurances",317 €,2054,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,13/12/1955,68,Célibataire,Chef d'entreprise,09/1992,Non,,,Oui,2010,non,non,01/2016,,08/2005,RE43293,RENAULT,TRAFIC,DIES,CBC,9,U1,0,35800,11,F,9,4,99,16,7,5,7,,,,,,,,,,,,,,,,,,,,,,T,3,20000,74700,74256,1,1,83440,83133,Haute-Savoie,74,84,P,P,32,120,6,A,85,C,16/09/2024
"	
MMA",332 €,2054,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,13/12/1955,68,Célibataire,Chef d'entreprise,09/1992,Non,,,Oui,2010,non,non,01/2016,,08/2005,RE43293,RENAULT,TRAFIC,DIES,CBC,9,U1,0,35800,11,F,9,4,99,16,7,5,7,,,,,,,,,,,,,,,,,,,,,,T,3,20000,74700,74256,1,1,83440,83133,Haute-Savoie,74,84,P,P,32,120,6,A,85,C,16/09/2024
"	
Groupe AXA",383 €,2054,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,13/12/1955,68,Célibataire,Chef d'entreprise,09/1992,Non,,,Oui,2010,non,non,01/2016,,08/2005,RE43293,RENAULT,TRAFIC,DIES,CBC,9,U1,0,35800,11,F,9,4,99,16,7,5,7,,,,,,,,,,,,,,,,,,,,,,T,3,20000,74700,74256,1,1,83440,83133,Haute-Savoie,74,84,P,P,32,120,6,A,85,C,16/09/2024
"	
Active Assurances",418 €,2054,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,13/12/1955,68,Célibataire,Chef d'entreprise,09/1992,Non,,,Oui,2010,non,non,01/2016,,08/2005,RE43293,RENAULT,TRAFIC,DIES,CBC,9,U1,0,35800,11,F,9,4,99,16,7,5,7,,,,,,,,,,,,,,,,,,,,,,T,3,20000,74700,74256,1,1,83440,83133,Haute-Savoie,74,84,P,P,32,120,6,A,85,C,16/09/2024
"	
GMF",438 €,2054,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,13/12/1955,68,Célibataire,Chef d'entreprise,09/1992,Non,,,Oui,2010,non,non,01/2016,,08/2005,RE43293,RENAULT,TRAFIC,DIES,CBC,9,U1,0,35800,11,F,9,4,99,16,7,5,7,,,,,,,,,,,,,,,,,,,,,,T,3,20000,74700,74256,1,1,83440,83133,Haute-Savoie,74,84,P,P,32,120,6,A,85,C,16/09/2024
"	
Groupe Allianz",490 €,2054,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,13/12/1955,68,Célibataire,Chef d'entreprise,09/1992,Non,,,Oui,2010,non,non,01/2016,,08/2005,RE43293,RENAULT,TRAFIC,DIES,CBC,9,U1,0,35800,11,F,9,4,99,16,7,5,7,,,,,,,,,,,,,,,,,,,,,,T,3,20000,74700,74256,1,1,83440,83133,Haute-Savoie,74,84,P,P,32,120,6,A,85,C,16/09/2024
"	
Groupe Vilavi",620 €,2054,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,13/12/1955,68,Célibataire,Chef d'entreprise,09/1992,Non,,,Oui,2010,non,non,01/2016,,08/2005,RE43293,RENAULT,TRAFIC,DIES,CBC,9,U1,0,35800,11,F,9,4,99,16,7,5,7,,,,,,,,,,,,,,,,,,,,,,T,3,20000,74700,74256,1,1,83440,83133,Haute-Savoie,74,84,P,P,32,120,6,A,85,C,16/09/2024
"	
Groupe Admiral",637 €,2054,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,13/12/1955,68,Célibataire,Chef d'entreprise,09/1992,Non,,,Oui,2010,non,non,01/2016,,08/2005,RE43293,RENAULT,TRAFIC,DIES,CBC,9,U1,0,35800,11,F,9,4,99,16,7,5,7,,,,,,,,,,,,,,,,,,,,,,T,3,20000,74700,74256,1,1,83440,83133,Haute-Savoie,74,84,P,P,32,120,6,A,85,C,16/09/2024
"	
Groupe Vilavi",659 €,2054,Vous le possédez déjà,N/A,N/A,Non,Vous,Un homme,13/12/1955,68,Célibataire,Chef d'entreprise,09/1992,Non,,,Oui,2010,non,non,01/2016,,08/2005,RE43293,RENAULT,TRAFIC,DIES,CBC,9,U1,0,35800,11,F,9,4,99,16,7,5,7,,,,,,,,,,,,,,,,,,,,,,T,3,20000,74700,74256,1,1,83440,83133,Haute-Savoie,74,84,P,P,32,120,6,A,85,C,16/09/2024
"	
MAAF Assurances",350 €,5157,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,27/12/1994,29,Célibataire,Fonctionnaire territorial,05/2017,Oui,,,Non,non,non,non,07/2018,,11/2005,BM55001,BMW,545,CARB,BER,24,H1,0,65000,16,K,9,13,99,8,5,12,9,,,,,,,,,,,,,,,,,,,,,,D,1,10000,46250,46250,1,1,41120,41061,Lot,46,76,V,S,7,0.68,6,E,17,A,16/09/2024
"	
Groupe AXA",443 €,5157,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,27/12/1994,29,Célibataire,Fonctionnaire territorial,05/2017,Oui,,,Non,non,non,non,07/2018,,11/2005,BM55001,BMW,545,CARB,BER,24,H1,0,65000,16,K,9,13,99,8,5,12,9,,,,,,,,,,,,,,,,,,,,,,D,1,10000,46250,46250,1,1,41120,41061,Lot,46,76,V,S,7,0.68,6,E,17,A,16/09/2024
"	
Groupe Admiral",482 €,5157,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,27/12/1994,29,Célibataire,Fonctionnaire territorial,05/2017,Oui,,,Non,non,non,non,07/2018,,11/2005,BM55001,BMW,545,CARB,BER,24,H1,0,65000,16,K,9,13,99,8,5,12,9,,,,,,,,,,,,,,,,,,,,,,D,1,10000,46250,46250,1,1,41120,41061,Lot,46,76,V,S,7,0.68,6,E,17,A,16/09/2024
"	
SOS Malus",586 €,5157,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,27/12/1994,29,Célibataire,Fonctionnaire territorial,05/2017,Oui,,,Non,non,non,non,07/2018,,11/2005,BM55001,BMW,545,CARB,BER,24,H1,0,65000,16,K,9,13,99,8,5,12,9,,,,,,,,,,,,,,,,,,,,,,D,1,10000,46250,46250,1,1,41120,41061,Lot,46,76,V,S,7,0.68,6,E,17,A,16/09/2024
"	
Groupe Vilavi",616 €,5157,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,27/12/1994,29,Célibataire,Fonctionnaire territorial,05/2017,Oui,,,Non,non,non,non,07/2018,,11/2005,BM55001,BMW,545,CARB,BER,24,H1,0,65000,16,K,9,13,99,8,5,12,9,,,,,,,,,,,,,,,,,,,,,,D,1,10000,46250,46250,1,1,41120,41061,Lot,46,76,V,S,7,0.68,6,E,17,A,16/09/2024
"	
Groupe Vilavi",655 €,5157,Vous le possédez déjà,N/A,N/A,Non,Vous,Une femme,27/12/1994,29,Célibataire,Fonctionnaire territorial,05/2017,Oui,,,Non,non,non,non,07/2018,,11/2005,BM55001,BMW,545,CARB,BER,24,H1,0,65000,16,K,9,13,99,8,5,12,9,,,,,,,,,,,,,,,,,,,,,,D,1,10000,46250,46250,1,1,41120,41061,Lot,46,76,V,S,7,0.68,6,E,17,A,16/09/2024
"	
GMF",337 €,3153,Vous comptez l'acheter,D'une première voiture,Neuve,Non,Vous,Une femme,14/01/1988,36,Divorcé(e),Profession libérale,12/2009,Non,,,Non,non,non,non,N/A,28/01/2025,12/2005,CI44052,CITROEN,C8,CARB,MSP,10,H1,0,33800,12,E,7,13,99,11,4,10,2,VOLKSWAGEN,TIGUAN,DIES,VTC,8,VW42392,49000,14,H,150,TT,0,10,4,9,7,4,12,11,12,99,C,2,10000,54680,54149,2,1,54290,54245,Meurthe-et-Moselle,54,44,P,P,14,10,0,E,33,D,16/09/2024
"	
MAAF Assurances",339 €,3153,Vous comptez l'acheter,D'une première voiture,Neuve,Non,Vous,Une femme,14/01/1988,36,Divorcé(e),Profession libérale,12/2009,Non,,,Non,non,non,non,N/A,28/01/2025,12/2005,CI44052,CITROEN,C8,CARB,MSP,10,H1,0,33800,12,E,7,13,99,11,4,10,2,VOLKSWAGEN,TIGUAN,DIES,VTC,8,VW42392,49000,14,H,150,TT,0,10,4,9,7,4,12,11,12,99,C,2,10000,54680,54149,2,1,54290,54245,Meurthe-et-Moselle,54,44,P,P,14,10,0,E,33,D,16/09/2024
"	
MMA",441 €,3153,Vous comptez l'acheter,D'une première voiture,Neuve,Non,Vous,Une femme,14/01/1988,36,Divorcé(e),Profession libérale,12/2009,Non,,,Non,non,non,non,N/A,28/01/2025,12/2005,CI44052,CITROEN,C8,CARB,MSP,10,H1,0,33800,12,E,7,13,99,11,4,10,2,VOLKSWAGEN,TIGUAN,DIES,VTC,8,VW42392,49000,14,H,150,TT,0,10,4,9,7,4,12,11,12,99,C,2,10000,54680,54149,2,1,54290,54245,Meurthe-et-Moselle,54,44,P,P,14,10,0,E,33,D,16/09/2024
"	
Groupe Admiral",458 €,3153,Vous comptez l'acheter,D'une première voiture,Neuve,Non,Vous,Une femme,14/01/1988,36,Divorcé(e),Profession libérale,12/2009,Non,,,Non,non,non,non,N/A,28/01/2025,12/2005,CI44052,CITROEN,C8,CARB,MSP,10,H1,0,33800,12,E,7,13,99,11,4,10,2,VOLKSWAGEN,TIGUAN,DIES,VTC,8,VW42392,49000,14,H,150,TT,0,10,4,9,7,4,12,11,12,99,C,2,10000,54680,54149,2,1,54290,54245,Meurthe-et-Moselle,54,44,P,P,14,10,0,E,33,D,16/09/2024
"	
Groupe AXA",700 €,3153,Vous comptez l'acheter,D'une première voiture,Neuve,Non,Vous,Une femme,14/01/1988,36,Divorcé(e),Profession libérale,12/2009,Non,,,Non,non,non,non,N/A,28/01/2025,12/2005,CI44052,CITROEN,C8,CARB,MSP,10,H1,0,33800,12,E,7,13,99,11,4,10,2,VOLKSWAGEN,TIGUAN,DIES,VTC,8,VW42392,49000,14,H,150,TT,0,10,4,9,7,4,12,11,12,99,C,2,10000,54680,54149,2,1,54290,54245,Meurthe-et-Moselle,54,44,P,P,14,10,0,E,33,D,16/09/2024
"	
Active Assurances",714 €,3153,Vous comptez l'acheter,D'une première voiture,Neuve,Non,Vous,Une femme,14/01/1988,36,Divorcé(e),Profession libérale,12/2009,Non,,,Non,non,non,non,N/A,28/01/2025,12/2005,CI44052,CITROEN,C8,CARB,MSP,10,H1,0,33800,12,E,7,13,99,11,4,10,2,VOLKSWAGEN,TIGUAN,DIES,VTC,8,VW42392,49000,14,H,150,TT,0,10,4,9,7,4,12,11,12,99,C,2,10000,54680,54149,2,1,54290,54245,Meurthe-et-Moselle,54,44,P,P,14,10,0,E,33,D,16/09/2024
